AERONET_Database_Site_List,Num=0,Date_Generated=25:08:2017,Months_Available_for_Year,2016
Site_Name,Longitude(decimal_degrees),Latitude(decimal_degrees),Elevation(meters),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
Amsterdam_Island,77.573333,-37.810000,30.000000,1,1,1,1,1,1,1,1,1,1,1,1
Omkoi,98.431667,17.798333,1120.000000,1,1,1,1,1,1,1,1,1,1,1,1
Palgrunden,13.151500,58.755333,49.000000,0,0,0,0,1,1,1,1,1,1,1,0
Carpentras,5.058333,44.083333,100.000000,1,1,1,1,1,1,1,0,0,0,0,0
Cabauw,4.927000,51.971000,-0.700000,1,1,1,1,0,1,0,1,1,0,0,0
Toulon,6.009444,43.135556,50.000000,1,1,1,1,1,1,1,1,1,1,1,1
Dunkerque,2.368117,51.035350,0.000000,1,1,1,1,1,1,1,0,0,0,0,0
Evora,-7.911500,38.567833,293.000000,1,1,1,1,0,0,0,0,0,0,0,0
ETNA,15.019433,37.613500,736.000000,0,1,1,1,1,1,1,1,1,1,0,0
Hyytiala,24.295892,61.846447,191.000000,0,0,0,1,1,1,1,0,1,1,0,0
MVCO,-70.550000,41.300000,10.000000,0,0,0,1,1,1,1,1,1,1,1,1
Cabo_da_Roca,-9.500000,38.783333,140.000000,1,1,1,1,1,1,1,1,1,1,1,1
Messina,15.566833,38.197500,15.000000,1,1,1,1,1,1,1,1,1,1,1,1
Gwangju_GIST,126.843139,35.228278,52.000000,0,0,0,0,1,0,0,0,0,0,0,0
Thessaloniki,22.960000,40.630000,60.000000,1,1,0,0,0,0,0,0,0,0,0,0
Ames,-93.774778,42.021361,338.000000,1,0,0,0,0,0,0,0,0,0,0,0
IER_Cinzana,-5.933867,13.278433,285.000000,1,1,1,1,1,1,1,1,1,1,0,0
Granada,-3.605000,37.164000,680.000000,1,1,1,1,1,0,0,0,0,0,0,0
Mezaira,53.778611,23.145000,204.000000,1,1,1,1,1,1,1,1,1,1,1,1
Saada,-8.155830,31.625830,420.000000,1,1,1,1,1,1,1,1,1,1,1,1
Pune,73.805491,18.537255,559.000000,1,1,1,0,0,0,0,0,0,0,0,0
Cape_San_Juan,-65.619900,18.384500,15.000000,1,0,0,1,1,1,1,1,1,1,1,0
Karlsruhe,8.427900,49.093300,140.000000,0,0,1,1,1,1,1,1,0,0,0,0
Gustav_Dalen_Tower,17.466830,58.594170,25.000000,0,0,0,1,1,1,1,1,1,1,0,0
Hornsund,15.560278,77.001111,10.000000,0,0,0,0,0,1,1,1,1,0,0,0
COVE_SEAPRISM,-75.710000,36.900000,24.000000,1,0,0,0,0,0,0,0,0,0,0,0
Fort_McMurray,-111.476139,56.752306,360.000000,1,1,1,1,1,1,1,1,1,1,0,0
OHP_OBSERVATOIRE,5.710000,43.935000,680.000000,1,1,1,1,1,1,0,0,0,0,0,0
Birdsville,139.345960,-25.898930,46.500000,1,1,0,1,1,1,1,1,1,1,1,1
Red_Mountain_Pass,-107.725000,37.908333,3368.000000,1,1,1,1,1,1,0,0,0,0,0,0
Chilbolton,-1.436980,51.144460,88.000000,1,1,1,1,1,1,0,0,0,0,0,0
Trelew,-65.308611,-43.249806,15.000000,1,1,1,1,1,0,0,0,0,0,0,0
CEILAP-RG,-69.320000,-51.600000,15.000000,1,1,1,0,1,1,1,0,0,0,0,0
Hong_Kong_PolyU,114.179722,22.303333,30.000000,0,0,0,0,0,1,1,0,1,1,0,0
ICIPE-Mbita,34.200000,-0.416700,1125.000000,1,1,0,0,0,0,0,0,0,0,0,0
Ji_Parana_SE,-61.851517,-10.934250,218.000000,1,1,1,1,1,0,0,0,0,0,0,0
La_Paz,-68.066467,-16.539000,3439.000000,1,1,1,1,1,1,1,1,1,1,1,1
Tudor_Hill,-64.879000,32.264000,51.000000,0,0,0,1,1,1,1,1,1,1,1,1
Lulin,120.873611,23.468611,2868.000000,1,1,1,1,1,1,1,1,0,0,0,0
Gandhi_College,84.127944,25.871000,60.000000,1,1,1,1,1,1,0,1,1,1,1,1
Helsinki_Lighthouse,24.926360,59.948970,20.000000,0,0,0,0,1,1,1,1,1,0,0,0
Chapais,-74.975400,49.822433,373.440000,1,1,1,1,1,1,1,1,1,1,1,1
EPA-NCU,121.185483,24.967533,144.000000,1,1,1,1,1,1,1,0,0,0,0,0
Univ_of_Houston,-95.341600,29.717700,65.000000,1,1,1,1,1,1,1,1,1,0,0,0
Thompson_Farm,-70.948344,43.108772,26.000000,1,1,1,1,1,1,1,1,1,1,0,0
Singapore,103.780383,1.297667,30.000000,1,1,1,1,1,1,1,1,1,1,1,1
White_Sands_HELSTF,-106.338072,32.634942,1207.240000,1,1,1,1,1,1,1,1,1,1,1,1
Sodankyla,26.629570,67.366620,184.000000,0,0,0,1,1,1,1,1,1,1,0,0
Eilat,34.917500,29.502500,15.000000,1,1,1,0,0,0,0,0,0,0,0,0
PEARL,-86.416944,80.053611,615.000000,0,0,0,1,1,0,1,1,1,0,0,0
OPAL,-85.939167,79.990278,0.000000,0,0,1,1,1,1,1,1,0,0,0,0
NASA_Ames,-122.056969,37.419986,10.000000,1,1,0,1,1,1,0,0,0,0,1,1
Burjassot,-0.418000,39.508000,30.000000,1,1,1,1,1,1,1,1,1,1,1,0
La_Laguna,-16.321111,28.481944,568.000000,1,1,1,1,1,1,1,1,1,0,0,0
Bucharest_Inoe,26.029722,44.348056,93.000000,1,1,1,1,1,0,0,0,0,0,0,0
Silpakorn_Univ,100.041183,13.819308,72.000000,1,1,1,1,1,1,1,1,1,1,1,1
Chiang_Mai_Met_Sta,98.972467,18.771125,312.000000,1,1,1,1,1,1,1,0,0,0,0,0
Songkhla_Met_Sta,100.604583,7.184387,15.000000,0,0,1,1,0,0,0,0,0,0,0,0
Ragged_Point,-59.432035,13.165018,40.000000,1,1,1,1,1,1,1,1,1,1,1,1
Issyk-Kul,76.983056,42.622778,1650.000000,1,0,0,0,0,0,0,0,0,0,0,0
South_Pole_Obs_NOAA,70.300000,-89.996430,2850.000000,1,0,0,0,0,0,0,0,0,0,0,0
